Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
PCI DSS,4,Data,Protect Account Data,3.3.1,"SAD is not retained after authorization, even if encrypted. All sensitive authentication data received is rendered unrecoverable upon completion of the authorization process
Applicability Notes
This requirement does not apply to issuers and companies that support issuing services (where SAD is needed for a legitimate issuing business need) and have a business justification to store the sensitive authentication data. 
Refer to Requirement 3.3.3 for additional requirements specifically for issuers. 
Sensitive authentication data includes the data cited in Requirements 3.3.1.1 through 3.3.1.3. ",,,True,,SAST,,SAST,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,Sensitive authentication data is not stored after authorization.,,,
PCI DSS,4,Data,Protect Account Data,3.3.1.1,"The full contents of any track are not retained upon completion of the authorization process.
Applicability Notes
In the normal course of business, the following data elements from the track may need to be retained: 
•         Cardholder name.
•         Primary account number (PAN).
•         Expiration date.
•         Service code.
To minimize risk, store securely only these data elements as needed for business",,,True,,"DLP, Encryption",,"DLP, Encryption",,,,Available via API/Product reports.,Partial,No,Control Supported,,Sensitive authentication data is not stored after authorization.,,,
PCI DSS,4,Data,Protect Account Data,3.3.1.2,"The card verification code is not retained upon completion of the authorization process.
Applicability Notes
The card verification code is the three- or four-digit number printed on the front or back of a payment card used to verify card-not-present transactions.",,,True,,"DLP, Encryption",,"DLP, Encryption",,,,Available via API/Product reports.,Partial,No,Control Supported,,Sensitive authentication data is not stored after authorization.,,,
PCI DSS,4,Data,Protect Account Data,3.3.1.3,"The personal identification number (PIN) and the PIN block are not retained upon completion of the authorization process.
Applicability Notes
PIN blocks are encrypted during the natural course of transaction processes, but even if an entity encrypts the PIN block again, it is still not allowed to be stored after the completion of the authorization process.",,,True,,SAST,,SAST,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Supported,,Sensitive authentication data is not stored after authorization.,,,
PCI DSS,4,Data,Protect Account Data,3.3.2,"SAD that is stored electronically prior to completion of authorization is encrypted using strong cryptography. 
Applicability Notes
Whether SAD is permitted to be stored prior to authorization is determined by the organizations that manage compliance programs (for example, payment brands and acquirers). Contact the organizations of interest for any additional criteria.
This requirement applies to all storage of SAD, even if no PAN is present in the environment.
Refer to Requirement 3.2.1 for an additional requirement that applies if SAD is stored prior to completion of authorization.
This requirement does not apply to issuers and companies that support issuing services where there is a legitimate issuing business justification to store SAD). 
Refer to Requirement 3.3.3 for requirements specifically for issuers. 
This requirement does not replace how PIN blocks are required to be managed, nor does it mean that a properly encrypted PIN block needs to be encrypted again. 
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, MDM, PM, PaaS, SAST","Automox Add-On, Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM, PM, PaaS, SAST","Automox Add-On, Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, storage, pci, compliance",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Sensitive authentication data is not stored after authorization.,,,
PCI DSS,4,Data,Protect Account Data,3.3.3,"Additional requirement for issuers and companies that support issuing services and store sensitive authentication data: Any storage of sensitive authentication data is: 
•         Limited to that which is needed for a legitimate issuing business need and is secured.
•         Encrypted using strong cryptography. 
Applicability Notes
This requirement applies only to issuers and companies that support issuing services and store sensitive authentication data. 
Entities that issue payment cards or that perform or support issuing services will often create and control sensitive authentication data as part of the issuing function. It is allowable for companies that perform, facilitate, or support issuing services to store sensitive authentication data ONLY IF they have a legitimate business need to store such data. 
PCI DSS requirements are intended for all entities that store, process, or transmit account data, including issuers. The only exception for issuers and issuer processors is that sensitive authentication data may be retained if there is a legitimate reason to do so. Any such data must be stored securely and in accordance with all PCI DSS and specific payment brand requirements. 
(continued on next page)
The bullet above (for encrypting stored SAD with strong cryptography) is a best practice until 31 March 2025, after which it will be required as part of Requirement 3.3.3 and must be fully considered during a PCI DSS assessment.",,,True,,"Compliance, MDM, PT, PaaS, SAST","Cyber GRC Add-On, Pentesting Services, Surface Command, Vector Command, insightCloudSec, insightVM","Compliance, MDM, PT, PaaS, SAST","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Pentesting Services, Surface Command, Vector Command, insightCloudSec, insightVM","pci, storage, pci",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Sensitive authentication data is not stored after authorization.,,,
PCI DSS,4,Data,Protect Account Data,3.4.1,"PAN is masked when displayed (the BIN and last four digits are the maximum number of digits to be displayed), such that only personnel with a legitimate business need can see more than the BIN and last four digits of the PAN.
Applicability Notes
This requirement does not supersede stricter requirements in place for displays of cardholder data—for example, legal or payment brand requirements for point-of-sale (POS) receipts.
This requirement relates to protection of PAN where it is displayed on screens, paper receipts, printouts, etc., and is not to be confused with Requirement 3.5.1 for protection of PAN when stored, processed, or transmitted. ",,,True,,"DLP, Encryption",,"DLP, Encryption",,,,Available via API/Product reports.,Partial,No,Control Supported,,Access to displays of full PAN and ability to copy account data is restricted.,,,
PCI DSS,4,Data,Protect Account Data,3.4.2,"When using remote-access technologies, technical controls prevent copy and/or relocation of PAN for all personnel, except for those with documented, explicit authorization and a legitimate, defined business need.
Applicability Notes
Storing or relocating PAN onto local hard drives, removable electronic media, and other storage devices brings these devices into scope for PCI DSS.
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, MDM, PaaS","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM, PaaS","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, storage, pci",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Access to displays of full PAN and ability to copy account data is restricted.,,,
PCI DSS,4,Data,Protect Account Data,3.5.1,"PAN is rendered unreadable anywhere it is stored by using any of the following approaches: 
•         One-way hashes based on strong cryptography of the entire PAN. 
•         Truncation (hashing cannot be used to replace the truncated segment of PAN).
•         Index tokens.
•         Strong cryptography with associated key-management processes and procedures. 
•         Where hashed and truncated versions of the same PAN, or different truncation formats of the same PAN, are present in an environment, additional controls are in place to ensure that the different versions cannot be correlated to reconstruct the original PAN.
Applicability Notes
It is a relatively trivial effort for a malicious individual to reconstruct original PAN data if they have access to both the truncated and hashed version of a PAN.
This requirement applies to PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception, or troubleshooting logs) must all be protected. 
This requirement does not preclude the use of temporary files containing cleartext PAN while encrypting and decrypting PAN.",,,True,,"PM, PT, PaaS, SAST","Automox Add-On, Pentesting Services, Vector Command","PM, PT, PaaS, SAST","Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Pentesting Services, Surface Command, Vector Command","storage, backup, audit logs, key",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,PAN is secured wherever it is stored.,,,
PCI DSS,4,Data,Protect Account Data,3.5.1.1,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1), are keyed cryptographic hashes of the entire PAN, with associated key-management processes and procedures in accordance with Requirements 3.6 and 3.7.
Applicability Notes
This requirement applies to PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception, or troubleshooting logs) must all be protected. 
This requirement does not preclude the use of temporary files containing cleartext PAN while encrypting and decrypting PAN. 
This requirement is considered a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,True,,"Compliance, MDM, PM, PT, PaaS, SAST","Automox Add-On, Cyber GRC Add-On, Pentesting Services, Surface Command, Vector Command, insightCloudSec, insightVM","Compliance, MDM, PM, PT, PaaS, SAST","Automox Add-On, Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Pentesting Services, Surface Command, Vector Command, insightCloudSec, insightVM","pci, storage, pci, backup, audit logs, key",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,PAN is secured wherever it is stored.,,,
PCI DSS,4,Data,Protect Account Data,3.5.1.2,"If disk-level or partition-level encryption (rather than file-, column-, or field-level database encryption) is used to render PAN unreadable, it is implemented only as follows :
•         On removable electronic media
OR
•         If used for non-removable electronic media, PAN is also rendered unreadable via another mechanism that meets Requirement 3.5.1. 
Note: Disk or partition encryption implementations must also meet all other PCI DSS encryption and key-management requirements. 
Applicability Notes
While disk encryption may still be present on these types of devices, it cannot be the only mechanism used to protect PAN stored on those systems. Any stored PAN must also be rendered unreadable per Requirement 3.5.1—for example, through truncation or a data-level encryption mechanism. Full disk encryption helps to protect data in the event of physical loss of a disk and therefore its use is appropriate only for removable electronic media storage devices. 
Media that is part of a data center architecture (for example, hot-swappable drives, bulk tape-backups) is considered non-removable electronic media to which Requirement 3.5.1 applies.
Disk or partition encryption implementations must also meet all other PCI DSS encryption and key-management requirements. 
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, MDM, PM, PaaS, SAST, WAF","Automox Add-On, Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM, PM, PaaS, SAST, WAF","Automox Add-On, Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, storage, pci, encryption, encryption, key, protect",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,PAN is secured wherever it is stored.,,,
